origin_device,origin_date,follower_device,follower_date,lag_days,origin_final_tier,follower_final_tier,origin_score,follower_score,pair_score,follower_role,follower_raw_axes_present,follower_csv_axes_present,support_class
USER_ORIGIN_MINI1,2025-08-03,EXT_REMOTE_GEO_C,2025-08-03,0,B_RAW_WINDOW_SUPPORT,B_RAW_WINDOW_SUPPORT,400.553,294.963,407.101,EXTERNAL_GEO_SEPARATED,9,9,RAW_AND_CSV_RESULT_SUPPORT
USER_ORIGIN_MINI1,2025-08-01,EXT_REMOTE_GEO_C,2025-08-03,2,B_RAW_WINDOW_SUPPORT,B_RAW_WINDOW_SUPPORT,400.317,294.963,407.042,EXTERNAL_GEO_SEPARATED,9,9,RAW_AND_CSV_RESULT_SUPPORT
USER_ORIGIN_MINI1,2025-08-05,USER_DEVICE_12G,2025-08-05,0,B_RAW_WINDOW_SUPPORT,B_RAW_WINDOW_SUPPORT,410.032,302.779,405.287,USER_CLUSTER_SUPPORT,8,9,RAW_AND_CSV_RESULT_SUPPORT
USER_ORIGIN_MINI1,2025-08-08,EXT_NO_CONTACT_A,2025-08-10,2,B_RAW_WINDOW_SUPPORT,B_RAW_WINDOW_SUPPORT,407.029,291.248,405.005,EXTERNAL_CRITICAL_NO_DIRECT_CONTACT,9,0,RAW_ONLY
USER_ORIGIN_MINI1,2025-08-02,USER_DEVICE_11PRO,2025-08-03,1,B_RAW_WINDOW_SUPPORT,B_RAW_WINDOW_SUPPORT,420.325,299.39,404.471,USER_CLUSTER_SUPPORT,9,9,RAW_AND_CSV_RESULT_SUPPORT
USER_ORIGIN_MINI1,2025-08-07,USER_BRIDGE_15G,2025-08-08,1,B_RAW_WINDOW_SUPPORT,B_RAW_WINDOW_SUPPORT,418.6,289.606,404.256,BRIDGE_TO_LATER_JOKER,8,9,RAW_AND_CSV_RESULT_SUPPORT
USER_ORIGIN_MINI1,2025-08-03,USER_DEVICE_12G,2025-08-05,2,B_RAW_WINDOW_SUPPORT,B_RAW_WINDOW_SUPPORT,400.553,302.779,402.917,USER_CLUSTER_SUPPORT,8,9,RAW_AND_CSV_RESULT_SUPPORT
USER_ORIGIN_MINI1,2025-08-05,USER_BRIDGE_15G,2025-08-08,3,B_RAW_WINDOW_SUPPORT,B_RAW_WINDOW_SUPPORT,410.032,289.606,402.114,BRIDGE_TO_LATER_JOKER,8,9,RAW_AND_CSV_RESULT_SUPPORT
USER_ORIGIN_MINI1,2025-08-08,USER_BRIDGE_15G,2025-08-08,0,B_RAW_WINDOW_SUPPORT,B_RAW_WINDOW_SUPPORT,407.029,289.606,401.363,BRIDGE_TO_LATER_JOKER,8,9,RAW_AND_CSV_RESULT_SUPPORT
USER_ORIGIN_MINI1,2025-08-03,USER_DEVICE_11PRO,2025-08-03,0,B_RAW_WINDOW_SUPPORT,B_RAW_WINDOW_SUPPORT,400.553,299.39,399.528,USER_CLUSTER_SUPPORT,9,9,RAW_AND_CSV_RESULT_SUPPORT
USER_ORIGIN_MINI1,2025-08-01,USER_DEVICE_11PRO,2025-08-03,2,B_RAW_WINDOW_SUPPORT,B_RAW_WINDOW_SUPPORT,400.317,299.39,399.469,USER_CLUSTER_SUPPORT,9,9,RAW_AND_CSV_RESULT_SUPPORT
